# "Time","Car.CFL.Tire.FrcC.y","Car.CFR.Tire.FrcC.y","Car.CRL.Tire.FrcC.y","Car.CRR.Tire.FrcC.y","Car.SideSlipAngle","Car.SteerAngleFL","Car.SteerAngleFR","Car.YawRate","Car.ay","Car.v","Car.vx","Car.vy","Driver.Steer.Ang","Vhcl.FL.SideSlip","Vhcl.FR.SideSlip","Vhcl.PoI.ay","Vhcl.RL.SideSlip","Vhcl.RR.SideSlip"
# "C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1","C1"
# "s","N","N","N","N","rad","rad","rad","rad/s","m/s^2","m/s","m/s","m/s","rad","rad","rad","m/s^2","rad","rad"
6.721,-108.4701385,108.4701385,-22.69898224,22.69898033,-2.424697595e-012,-0.00166305108,0.00166305108,2.744780618e-011,-1.991075305e-009,7.006103992,7.005717754,-2.16137646e-011,-1.528758088e-018,0.001729719108,-0.001729719108,-1.371186276e-008,0.001356835011,-0.001356835011
6.731,-108.5911942,108.5911942,-22.72079277,22.72079277,-5.436136784e-012,-0.001664123498,0.001664123498,2.680835588e-011,-1.860273935e-009,7.005402088,7.005016327,-4.255866493e-011,-1.387303586e-018,0.00173087616,-0.001730876043,-1.338421018e-008,0.001357335364,-0.001357335364
6.741,-108.7108612,108.7108612,-22.74102783,22.74102592,-8.250860932e-012,-0.001665181597,0.001665181597,2.604640982e-011,-1.725094623e-009,7.004711628,7.00432682,-6.210315595e-011,-1.258554578e-018,0.001732020173,-0.001732020173,-1.305603003e-008,0.001357808011,-0.001357808011
6.751,-108.8291626,108.8291626,-22.7597065,22.75970459,-1.086264585e-011,-0.001666225726,0.001666225726,2.517435219e-011,-1.587349585e-009,7.004032612,7.003648758,-8.020616116e-011,-1.141664031e-018,0.001733151381,-0.001733151381,-1.272902583e-008,0.001358253183,-0.001358253183
6.761,-108.9460983,108.9460983,-22.77685547,22.77685547,-1.326759362e-011,-0.001667255652,0.001667255652,2.420308225e-011,-1.448169473e-009,7.00336504,7.00298214,-9.684288788e-011,-1.03493788e-018,0.001734269783,-0.001734269783,-1.240423408e-008,0.001358671463,-0.001358671463
6.771,-109.0616913,109.0616837,-22.79251099,22.79251099,-1.546334935e-011,-0.001668271492,0.001668271492,2.314317835e-011,-1.308356201e-009,7.002708435,7.002326488,-1.119993126e-010,-9.4007019e-019,0.001735375612,-0.001735375612,-1.208239553e-008,0.001359063433,-0.001359063433
6.781,-109.1759338,109.1759338,-22.8067131,22.8067131,-1.744876119e-011,-0.001669273246,0.001669273246,2.200473137e-011,-1.168653063e-009,7.002063274,7.001681805,-1.256698218e-010,-8.519788152e-019,0.001736468752,-0.001736468752,-1.176417275e-008,0.001359429793,-0.001359429793
6.791,-109.2888489,109.2888412,-22.8195076,22.8195076,-1.922378923e-011,-0.00167026103,0.00167026103,2.079807854e-011,-1.029754171e-009,7.001428127,7.001048088,-1.37856504e-010,-7.723577182e-019,0.001737549319,-0.001737549319,-1.145018125e-008,0.001359771355,-0.001359771355
6.801,-109.4004288,109.4004211,-22.83094597,22.83094597,-2.078948298e-011,-0.001671234844,0.001671234844,1.953330206e-011,-8.924058159e-010,7.000803947,7.000424385,-1.485690182e-010,-7.020539836e-019,0.00173861743,-0.00173861743,-1.114134118e-008,0.00136008882,-0.00136008882
6.811,-109.5106812,109.5106812,-22.84106064,22.84106064,-2.21479831e-011,-0.001672194805,0.001672194805,1.822057262e-011,-7.57215679e-010,7.000189781,6.999811172,-1.57824559e-010,-6.368324466e-019,0.0017396732,-0.0017396732,-1.084021051e-008,0.001360382303,-0.001360382303
6.821,-109.6196365,109.6196289,-22.84982491,22.84982491,-2.330249362e-011,-0.001673140679,0.001673140679,1.686961508e-011,-6.249463169e-010,6.999585629,6.999207973,-1.656477039e-010,-5.783871733e-019,0.001740716863,-0.001740716863,-1.055120791e-008,0.001360649592,-0.001360649592
6.831,-109.7273254,109.7273178,-22.85704422,22.85704231,-2.425723684e-011,-0.001674072701,0.001674072701,1.549024624e-011,-4.961837607e-010,6.998990536,6.998613834,-1.720699833e-010,-5.250240976e-019,0.001741749351,-0.001741749351,-1.02827844e-008,0.00136088382,-0.00136088382
6.841,-109.8338394,109.8338394,-22.86239624,22.86239624,-2.501738053e-011,-0.001674990635,0.001674990635,1.409195417e-011,-3.714958341e-010,6.998404026,6.998027802,-1.771294916e-010,-4.767432196e-019,0.001742772525,-0.001742772525,-1.002802019e-008,0.00136107963,-0.00136107963
6.851,-109.9393539,109.9393539,-22.86569023,22.86569023,-2.558895977e-011,-0.001675894251,0.001675894251,1.268378892e-011,-2.513903807e-010,6.997824669,6.997449398,-1.80870291e-010,-4.318504734e-019,0.00174378918,-0.00174378918,-9.781378374e-009,0.001361236558,-0.001361236558
6.861,-110.0440674,110.0440674,-22.86685944,22.86685944,-2.597880591e-011,-0.001676783082,0.001676783082,1.127453599e-011,-1.36327602e-010,6.997253895,6.996879101,-1.833418556e-010,-3.920399249e-019,0.001744800946,-0.001744800946,-9.541185619e-009,0.001361355069,-0.001361355069
6.871,-110.1480789,110.1480789,-22.86589622,22.86589622,-2.619445633e-011,-0.001677656546,0.001677656546,9.872636562e-012,-2.672794104e-011,6.996690273,6.996315956,-1.84598517e-010,-3.556175081e-019,0.001745807705,-0.001745807705,-9.307546733e-009,0.001361435861,-0.001361435861
6.881,-110.2513504,110.2513504,-22.86284256,22.86284256,-2.624407462e-011,-0.001678514294,0.001678514294,8.48599576e-012,7.702345706e-011,6.996134281,6.995760918,-1.846988534e-010,-3.217361903e-019,0.001746808062,-0.001746808062,-9.081205121e-009,0.001361480448,-0.001361480448
6.891,-110.3537674,110.3537674,-22.85782051,22.85782242,-2.613636911e-011,-0.001679355744,0.001679355744,7.122031263e-012,1.746813943e-010,6.995585442,6.995213032,-1.837051622e-010,-2.93784103e-019,0.001747799804,-0.001747799804,-8.862835799e-009,0.001361492439,-0.001361492439
6.901,-110.4551544,110.4551544,-22.85103416,22.85103416,-2.588051128e-011,-0.001680180663,0.001680180663,5.78761648e-012,2.659802933e-010,6.995044231,6.994672298,-1.816828077e-010,-2.666790487e-019,0.00174878072,-0.00174878072,-8.652988548e-009,0.001361475792,-0.001361475792
6.911,-110.5553436,110.5553436,-22.84272385,22.84272385,-2.54860525e-011,-0.001680988935,0.001680988935,4.489092691e-012,3.507182322e-010,6.994510651,6.994139194,-1.786996939e-010,-2.421150932e-019,0.001749749528,-0.001749749528,-8.451978672e-009,0.00136143493,-0.00136143493
6.921,-110.6542053,110.6542053,-22.83312988,22.83312988,-2.496284776e-011,-0.001681780443,0.001681780443,3.232364897e-012,4.287749877e-010,6.993983746,6.993612766,-1.74825765e-010,-2.183981707e-019,0.001750704832,-0.001750704832,-8.2599243e-009,0.001361373346,-0.001361373346
6.931,-110.7516479,110.7516479,-22.82246017,22.82246017,-2.432098446e-011,-0.001682555187,0.001682555187,2.022472467e-012,5.000012626e-010,6.993463993,6.993093491,-1.701324082e-010,-1.963753011e-019,0.001751646283,-0.001751646283,-8.076890268e-009,0.001361293951,-0.001361293951
6.941,-110.8475952,110.8475952,-22.8108902,22.8108902,-2.357070095e-011,-0.001683313167,0.001683313167,8.642038365e-013,5.643858714e-010,6.992950916,6.992581367,-1.646919962e-010,-1.785876092e-019,0.001752573298,-0.001752573298,-7.90281085e-009,0.001361198956,-0.001361198956
6.951,-110.9420013,110.9420013,-22.79856873,22.79856873,-2.272232576e-011,-0.001684054267,0.001684054267,-2.384002555e-013,6.219012527e-010,6.992444515,6.992075443,-1.585773873e-010,-1.641880491e-019,0.001753485296,-0.001753485296,-7.737614993e-009,0.001361090573,-0.001361090573
6.961,-111.0340958,111.0340958,-22.78563881,22.78563881,-2.179045312e-011,-0.001684778603,0.001684778603,-1.304936519e-012,6.672480346e-010,6.99194479,6.991576195,-1.51891319e-010,-1.489414561e-019,0.001754382043,-0.001754382043,-7.585505557e-009,0.001360971248,-0.001360971248
6.971,-111.123703,111.123703,-22.77224159,22.77224159,-2.078570996e-011,-0.001685486292,0.001685486292,-2.331878831e-012,7.097577526e-010,6.991451263,6.991083622,-1.447085646e-010,-1.353889289e-019,0.001755263074,-0.001755263074,-7.438694549e-009,0.001360843424,-0.001360843424
6.981,-111.2113266,111.2113266,-22.75852203,22.75852203,-1.971360575e-011,-0.001686177449,0.001686177449,-3.300071371e-012,7.47615414e-010,6.990964413,6.990597248,-1.370678571e-010,-1.226834347e-019,0.001756127924,-0.001756127924,-7.299449489e-009,0.001360709313,-0.001360709313
6.991,-111.2971497,111.2971497,-22.74461365,22.74461365,-1.858243073e-011,-0.001686852193,0.001686852193,-4.19971783e-012,7.795156742e-010,6.990483761,6.990116596,-1.29027275e-010,-1.116720064e-019,0.001756976126,-0.001756976126,-7.167496374e-009,0.001360571128,-0.001360571128
7.001,-111.381218,111.381218,-22.73065948,22.73065948,-1.740184559e-011,-0.001687510638,0.001687510638,-5.026160477e-012,8.048832156e-010,6.990008831,6.98964262,-1.206544864e-010,-9.981355161e-020,0.001757807331,-0.001757807448,-7.043562178e-009,0.00136043143,-0.00136043143
7.011,-111.4635315,111.4635391,-22.71679497,22.71679688,-1.618190824e-011,-0.001688153134,0.001688153134,-5.777253675e-012,8.237657778e-010,6.9895401,6.989174366,-1.120197685e-010,-9.134322214e-020,0.001758621424,-0.001758621424,-6.927694418e-009,0.001360292314,-0.001360292314
7.021,-111.5440903,111.5440903,-22.70314026,22.70314217,-1.493248754e-011,-0.001688779681,0.001688779681,-6.452359914e-012,8.36423486e-010,6.989077568,6.988712311,-1.031920591e-010,-8.371992561e-020,0.001759418054,-0.001759418054,-6.819651066e-009,0.001360155409,-0.001360155409
7.031,-111.622879,111.622879,-22.68980217,22.68980217,-1.366299868e-011,-0.001689390861,0.001689390861,-7.051758916e-012,8.432441967e-010,6.988620758,6.988255501,-9.423701403e-011,-7.694366203e-020,0.001760196988,-0.001760196988,-6.719012458e-009,0.001360022579,-0.001360022696
7.041,-111.6998825,111.6998901,-22.67687988,22.67687988,-1.238230872e-011,-0.001689986675,0.001689986675,-7.576429935e-012,8.445839028e-010,6.988169193,6.98780489,-8.521640338e-011,-6.932036551e-020,0.001760958228,-0.001760958345,-6.625371807e-009,0.001359895454,-0.001359895454
7.051,-111.775116,111.775116,-22.66446686,22.66446877,-1.109874692e-011,-0.001690567471,0.001690567471,-8.027870903e-012,8.407811114e-010,6.987723827,6.987359524,-7.618817383e-011,-6.169706898e-020,0.001761701889,-0.001761701889,-6.53832366e-009,0.00135977543,-0.00135977543
7.061,-111.8485641,111.8485718,-22.65264702,22.65264702,-9.820126483e-012,-0.001691133715,0.001691133715,-8.407810038e-012,8.322200151e-010,6.987283707,6.98691988,-6.720659446e-011,-5.66148713e-020,0.001762427739,-0.001762427739,-6.457437696e-009,0.001359663904,-0.001359663904
7.071,-111.9202499,111.9202499,-22.64149094,22.64149284,-8.553772274e-012,-0.00169168564,0.00169168564,-8.718215386e-012,8.19186885e-010,6.986848831,6.986485958,-5.832245104e-011,-5.153267038e-020,0.00176313601,-0.00176313601,-6.382383955e-009,0.001359561924,-0.001359561924
7.081,-111.990181,111.990181,-22.63106346,22.63106537,-7.306525177e-012,-0.001692223595,0.001692223595,-8.961538109e-012,8.019443998e-010,6.986419678,6.986056805,-4.958310151e-011,-4.560343975e-020,0.001763826818,-0.001763826818,-6.312850687e-009,0.001359470421,-0.001359470421
7.091,-112.0583649,112.0583649,-22.62141609,22.621418,-6.084735146e-012,-0.001692747814,0.001692747814,-9.140110543e-012,7.808867997e-010,6.985995293,6.985633373,-4.103244133e-011,-4.052124207e-020,0.001764500164,-0.001764500164,-6.248415119e-009,0.001359390328,-0.001359390328
7.101,-112.1248245,112.1248322,-22.6125946,22.61259651,-4.894259477e-012,-0.001693258877,0.001693258877,-9.256685696e-012,7.563370485e-010,6.98557663,6.98521471,-3.271085833e-011,-3.798014323e-020,0.001765156398,-0.001765156514,-6.188730861e-009,0.001359322341,-0.001359322341
7.111,-112.1895905,112.1895905,-22.60463524,22.60463715,-3.740452392e-012,-0.001693757018,0.001693757018,-9.314101573e-012,7.286597992e-010,6.985162735,6.984801292,-2.465519455e-011,-3.628607733e-020,0.001765795751,-0.001765795751,-6.13339779e-009,0.001359267044,-0.001359267044
